Designator,Footprint,Quantity,Value,LCSC Part #
D1,1210,1,LED,C601676
F1,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,1,12V,C3206715
F2,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,1,5V,C3206715
F3,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,1,3.3V,C3206715
F4,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,1,-12V,C3206715
J1,Molex_Mini-Fit_Jr_5569-24A2_2x12_P4.20mm_Horizontal,1,ATX-24,C492361
"J10, J5, J6, J7, J8, J9",Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,6,DIST,C471417
J2,PinHeader_1x02_P2.54mm_Horizontal,1,-12V,C492401
"J3, J4",Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,2,+12V,C293502
R1,0805,1,2.2k ohm,C17520
SW1,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm,1,On Switch,C3293151
